G,Date,Opponent,Tm,Opp,Point Differential,Points For,Points Against
1,"Mon, Nov 14, 2016",vermont,80,58,22,80.0,58.0
2,"Thu, Nov 17, 2016",ohio-state,67,72,17,73.5,65.0
3,"Sat, Nov 19, 2016",grambling,71,54,34,72.66666666666667,61.333333333333336
4,"Mon, Nov 21, 2016",st-francis-ny,64,48,50,70.5,58.0
5,"Fri, Nov 25, 2016",memphis,60,51,59,68.4,56.6
6,"Sat, Nov 26, 2016",virginia 7,52,63,48,65.66666666666667,57.666666666666664
7,"Wed, Nov 30, 2016",new-hampshire,76,62,62,67.14285714285714,58.285714285714285
8,"Sat, Dec 3, 2016",rhode-island 21,63,60,65,66.625,58.5
9,"Tue, Dec 6, 2016",brown,95,57,103,69.77777777777777,58.333333333333336
10,"Sat, Dec 10, 2016",massachusetts,75,69,109,70.3,59.4
11,"Sat, Dec 17, 2016",wagner,76,54,131,70.81818181818181,58.90909090909091
12,"Tue, Dec 20, 2016",maine,79,59,151,71.5,58.916666666666664
13,"Fri, Dec 23, 2016",boston-college,67,79,139,71.15384615384616,60.46153846153846
14,"Wed, Dec 28, 2016",xavier 17,56,82,113,70.07142857142857,62.0
15,"Sun, Jan 1, 2017",butler 13,61,78,96,69.46666666666667,63.06666666666667
16,"Wed, Jan 4, 2017",georgetown,76,70,102,69.875,63.5
17,"Sat, Jan 7, 2017",creighton 10,64,78,88,69.52941176470588,64.3529411764706
18,"Tue, Jan 10, 2017",depaul,63,64,87,69.16666666666667,64.33333333333333
19,"Sat, Jan 14, 2017",seton-hall,65,61,91,68.94736842105263,64.15789473684211
20,"Mon, Jan 16, 2017",georgetown,74,56,109,69.2,63.75
21,"Sat, Jan 21, 2017",villanova 1,68,78,99,69.14285714285714,64.42857142857143
22,"Wed, Jan 25, 2017",st-johns-ny,86,91,94,69.9090909090909,65.63636363636364
23,"Sat, Jan 28, 2017",marquette,79,78,95,70.30434782608695,66.17391304347827
24,"Wed, Feb 1, 2017",villanova 4,57,66,86,69.75,66.16666666666667
25,"Wed, Feb 8, 2017",seton-hall,70,72,84,69.76,66.4
26,"Sat, Feb 11, 2017",butler 22,71,65,90,69.8076923076923,66.34615384615384
27,"Wed, Feb 15, 2017",xavier,75,63,102,70.0,66.22222222222223
28,"Wed, Feb 22, 2017",creighton 23,68,66,104,69.92857142857143,66.21428571428571
29,"Sat, Feb 25, 2017",marquette,73,69,108,70.03448275862068,66.3103448275862
30,"Tue, Feb 28, 2017",depaul,73,64,117,70.13333333333334,66.23333333333333
31,"Sat, Mar 4, 2017",st-johns-ny,86,75,128,70.64516129032258,66.51612903225806
G,Date,opponent,Tm,Opp,128,70.64516129032258,66.51612903225806
32,"Thu, Mar 9, 2017",creighton,58,70,116,70.25,66.625
G,Date,opponent,Tm,Opp,116,70.25,66.625
33,"Wed, Mar 15, 2017",southern-california,71,75,112,70.27272727272727,66.87878787878788
